Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         7        0.000036        0.000005             0.000197             0.000028 resizeEvent                    image_export\image_export_tab_button.py:98
         2        0.000036        0.000018             0.000070             0.000035 update_dots                    dot_handler\dot_handler.py:45
         1        0.000035        0.000035             0.000035             0.000035 __init__                       image_creator\difficult_level_gradients.py:7
         8        0.000034        0.000004             0.001193             0.000149 resizeEvent                    buttons_widget\visibility_button.py:126
        14        0.000034        0.000002             0.000083             0.000006 qt_message_handler             legacy\main.py:185
         6        0.000034        0.000006             0.001229             0.000205 resizeEvent                    scroll\section_type_button.py:115
         3        0.000034        0.000011             0.000047             0.000016 __init__                       motion\handpath_calculator.py:23
        15        0.000031        0.000002             0.000138             0.000009 update_views                   legacy_beat_frame\beat_frame_resizer.py:68
         1        0.000031        0.000031             0.000077             0.000077 animate_graph_editor           graph_editor\graph_editor_animator.py:47
        10        0.000031        0.000003             0.000092             0.000009 apply_color_transformations    svg_manager\svg_color_handler.py:15
         1        0.000030        0.000030             0.000620             0.000620 update_buttons                 navigation_widget\menu_bar_nav_widget.py:90
         1        0.000030        0.000030             0.000055             0.000055 closeEvent                     main_window\main_window.py:89
         1        0.000030        0.000030             0.008163             0.008163 update_pictograph              pictograph_container\legacy_GE_pictograph_container.py:31
       233        0.000029        0.000000             0.000029             0.000000 _trigger_debug_print           views\base_pictograph_view.py:67
       105        0.000028        0.000000             0.000066             0.000001 <lambda>                       construct_tab\construct_tab_factory.py:74
         2        0.000027        0.000014             0.001811             0.000906 update_tka_glyph               tka_glyph\tka_glyph.py:44
         1        0.000026        0.000026             0.000260             0.000260 resizeEvent                    length_selector\length_selector.py:52
         2        0.000024        0.000012             0.001609             0.000804 _update_buttons                turns_adjustment_manager\turns_presenter.py:30
         1        0.000023        0.000023             0.000221             0.000221 update_pictograph_state        state\pictograph_state.py:35
         1        0.000023        0.000023             0.013077             0.013077 _update_graph_editor           legacy_beat_frame\beat_selection_overlay.py:54
         2        0.000023        0.000012             0.001706             0.000853 reset_state_for_new_pictograph turns_widget\turns_widget.py:86
         2        0.000023        0.000011             0.001282             0.000641 update_turns_column            turns_number_group\turns_column.py:103
         2        0.000023        0.000011             0.001414             0.000707 update_turns_display           turns_display_frame\turns_display_frame.py:70
         4        0.000023        0.000006             0.001152             0.000288 set_number                     turns_number_group\turns_column.py:61
         2        0.000021        0.000011             0.000990             0.000495 resizeEvent                    widgets\reversal_combobox.py:29
         1        0.000021        0.000021             0.013585             0.013585 on_fade_out_finished           fade_manager\stack_fader.py:30
         1        0.000020        0.000020             0.013201             0.013201 select_beat_view               legacy_beat_frame\beat_selection_overlay.py:29
         2        0.000020        0.000010             0.000157             0.000079 has_rotation_angle_override    calculators\base_rot_angle_calculator.py:38
         2        0.000020        0.000010             0.000052             0.000026 update_reversal_symbols        glyphs\reversal_glyph.py:45
        70        0.000020        0.000000             0.000028             0.000000 <genexpr>                      legacy\main.py:193
         2        0.000020        0.000010             0.000067             0.000034 resizeEvent                    labels\current_word_label.py:32
         3        0.000020        0.000007             0.000032             0.000011 get_letter_type                letter\letter_type.py:53
         2        0.000019        0.000010             0.000714             0.000357 __init__                       grid\non_radial_points_group.py:16
         1        0.000019        0.000019             0.000049             0.000049 resizeEvent                    codex\codex_toggle_button.py:28
         2        0.000018        0.000009             0.000274             0.000137 update_size_and_style          option_picker\resizable_mixin.py:16
         2        0.000018        0.000009             0.000764             0.000382 update_arrow                   arrow\arrow_updater.py:13
         4        0.000018        0.000005             0.000041             0.000010 reposition_toggle_tab          graph_editor\legacy_graph_editor_toggle_tab.py:100
         2        0.000018        0.000009             0.007344             0.003672 clear_graphics_effects         fade_manager\graphics_effect_remover.py:15
         4        0.000018        0.000005             0.000504             0.000126 load_svg_file                  svg_manager\svg_manager.py:21
         2        0.000018        0.000009             0.000057             0.000028 generate_key                   strategies\placement_key_generator.py:57
         2        0.000018        0.000009             0.000567             0.000283 update_prop                    prop\prop_updater.py:14
         1        0.000018        0.000018             0.000066             0.000066 _draw_text                     labels\difficulty_level_icon.py:50
        24        0.000018        0.000001             0.000027             0.000001 get_font_size                  codex\codex_section_type_label.py:35
         1        0.000018        0.000018             0.000339             0.000339 update_icon                    labels\workbench_difficulty_label.py:40
         8        0.000017        0.000002             0.000625             0.000078 resizeEvent                    turns_display_frame\adjust_turns_button.py:136
         6        0.000017        0.000003             0.000039             0.000006 generate_turns_tuple           turns_tuple_generators\type56_turns_tuple_generator.py:8
         2        0.000017        0.000008             0.000028             0.000014 _set_svg_mirror                arrow\arrow_mirror_handler.py:41
         1        0.000017        0.000017             0.000285             0.000285 _draw_difficulty_level         labels\difficulty_level_icon.py:24
         2        0.000017        0.000008             0.000222             0.000111 _calculate_adjustment          arrow_placement_manager\arrow_adjustment_calculator.py:43
         8        0.000017        0.000002             0.000752             0.000094 resizeEvent                    ori_picker_widget\ori_button.py:53
         1        0.000016        0.000016             0.000017             0.000017 _create_font                   labels\difficulty_level_icon.py:68
         3        0.000016        0.000005             0.000019             0.000006 resizeEvent                    codex\codex_control_button.py:50
         3        0.000015        0.000005             0.000030             0.000010 resizeEvent                    pictograph_container\legacy_GE_pictograph_container.py:58
         2        0.000015        0.000008             0.000027             0.000013 position_turns                 turns_number_group\turns_column.py:79
         6        0.000015        0.000003             0.000077             0.000013 resize_rotate_buttons_widget   ori_picker_widget\rotate_buttons_widget.py:37
         1        0.000015        0.000015             0.000090             0.000090 add_start_text                 legacy_beat_frame\beat_start_text_manager.py:18
         1        0.000015        0.000015             0.001467             0.001467 update_turns_displays          adjustment_panel\legacy_adjustment_panel.py:131
         2        0.000015        0.000007             0.000154             0.000077 _setup_prop_svg_renderer       svg_manager\prop_svg_manager.py:49
         2        0.000015        0.000007             0.000031             0.000016 update_prop_rot_angle          prop\prop_rot_angle_manager.py:88
         1        0.000015        0.000015             0.000196             0.000196 _draw_ellipse                  labels\difficulty_level_icon.py:41
